Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
12.133,29.54662704,36.10680008,11.666,37.17731476,28.51509285,12,29.23540878,34.37969208,12.2,33.68981552,32.62785339,12.266,28.59686089,31.13053894,11.867,31.6228714,32.17929459,12.2,33.00913239,33.54614258
12.2,29.76264191,36.31142044,11.8,37.38018417,28.6785717,12.134,29.34375191,34.39266968,12.333,33.82027817,32.71999741,12.466,28.41962242,31.0905304,12,31.55645943,32.25857162,12.333,32.93034363,33.58534241
12.333,29.5601387,36.28586197,11.933,37.36751556,28.5696106,12.201,29.46551895,34.23683167,12.4,33.68981552,32.81206894,12.6,28.54235458,31.18386078,12.067,31.6759758,32.23215103,12.467,32.91720963,33.55921173
12.4,29.64118195,36.36252213,12.066,37.5194664,28.7602253,12.334,29.42494392,34.21083832,12.533,33.62453079,32.71999741,12.666,28.63772392,31.02381897,12.267,31.71578789,32.32460022,12.6,33.03538132,33.72896957
12.533,29.74915314,36.28586197,12.133,37.5447731,28.61048317,12.467,29.66818428,34.40564728,12.666,33.79419708,32.89093399,12.8,28.63772392,31.22383881,12.334,31.8086338,32.21894073,12.667,32.91720963,33.70286942
12.666,29.54662704,36.19636536,12.266,37.7596817,28.54235458,12.667,29.45199585,34.27581024,12.733,33.76810837,32.81206894,12.933,28.5696106,31.14387131,12.467,31.58302879,32.41697311,12.8,33.00913239,33.84635544
12.8,29.61417389,36.31142044,12.4,37.77231216,28.7602253,12.734,29.70867538,34.5094223,12.866,33.84635544,32.78577042,13.066,28.5696106,30.97042465,12.6,31.74232292,32.45654297,12.867,33.03538132,33.53307343
12.933,29.70867538,36.59222031,12.466,37.6206665,28.70579529,12.934,29.66818428,34.65196609,12.933,33.9245491,32.99600601,13.133,28.5696106,31.19718933,12.667,31.84840202,32.52246094,13,33.00913239,33.59840775
13,29.77612877,36.52845764,12.6,37.6206665,28.73301315,13,29.53311348,34.45754623,13.066,34.00269699,32.96974564,13.266,28.65134048,31.29043579,12.8,31.75558853,32.31139755,13.133,33.07474899,33.70286942
13.133,29.76264191,36.56671906,12.733,37.8354454,28.88259888,13.201,29.69517899,34.61310577,13.133,34.01571274,32.93034363,13.4,28.85541725,31.31706619,12.934,31.76885223,32.2849884,13.267,33.37612915,33.8333168
13.267,29.910923,36.49018478,12.8,37.73442078,28.62410355,13.334,29.66818428,34.65196609,13.266,33.85939026,32.96974564,13.466,28.71940613,31.49000931,13,31.74232292,32.46972656,13.333,32.99600601,33.66370392
13.333,29.78961563,36.64320755,12.933,37.8354454,28.80103111,13.467,29.50607872,34.72964859,13.333,34.11981964,33.2058754,13.6,28.59686089,31.38361168,13.134,31.66270256,32.46972656,13.467,33.2058754,33.71591949
13.467,29.80310059,36.85966873,13.133,37.89854813,28.78743172,13.601,29.65468407,34.74258804,13.466,33.91152191,33.1665535,13.733,28.85541725,31.21051407,13.267,31.6228714,32.35099792,13.533,33.04850769,33.91152191
