Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
34.467,34.467,51.19444257,44.90570343,31.89249968,34.27822002,20.56509318,17.51739735
34.601,34.601,51.6266095,45.22179773,32.52424029,34.20388262,19.95290165,17.69594049
34.734,34.734,52.46749467,44.00127359,32.83119132,34.32621707,19.83634029,17.52311953
34.801,34.801,51.36997698,44.5609117,32.51837556,34.39352902,19.41445189,18.5312053
34.934,34.934,51.59558553,45.16645959,32.50629994,34.12208705,20.45751217,18.54333183
35,35,51.91594601,45.60350871,33.6277958,34.91628353,20.05041285,17.77202916
35.134,35.134,52.18565198,45.32841147,32.28134811,34.04406384,20.45044599,18.5172664
35.267,35.267,51.1715844,45.28577005,32.9236727,34.68273316,20.35217116,17.94092503
35.401,35.401,51.8155279,45.66959884,33.50854643,34.26993712,19.99059471,18.14779905
35.467,35.467,52.47335939,45.02818043,32.91010035,33.67666339,19.69145822,18.42683156
35.667,35.667,52.5867644,45.22755046,33.97022026,34.67433317,20.25132033,18.13397215
35.801,35.801,52.00443103,44.75779227,33.02515481,35.16761133,20.1556724,18.10971399
36,36,52.45926268,45.52196259,33.36387309,34.91628353,19.99503398,17.90778832
36.134,36.134,52.14125929,46.06132363,33.69862047,34.84193595,19.62274118,17.44902141
36.267,36.267,52.30139371,45.928731,33.48274064,34.40752901,20.30878138,17.83958038
36.401,36.401,51.92931982,46.18248717,32.7950968,34.64857319,20.72072724,18.34858944
36.467,36.467,52.61613892,46.26602892,33.24939391,34.63721029,21.09403313,18.11624562
36.601,36.601,52.399638,46.27198019,33.42350795,35.31242722,20.60633969,18.4789777
36.734,36.734,52.25697047,45.91342774,33.16356634,34.71905677,20.39559658,18.74546622
36.801,36.801,52.15237273,46.53795962,34.18959245,35.28297124,20.82400643,19.06211543
36.934,36.934,52.54816006,46.26898674,33.35706146,35.19841131,20.97474304,18.6213805
37,37,52.44756887,46.18985371,33.86959343,35.80780284,20.58118553,18.33063382
37.201,37.201,53.24096607,45.67738283,33.58716528,35.39299588,20.46912452,18.98579258
37.401,37.401,52.53058626,45.86761469,33.9958886,35.23673564,21.07998223,18.65140157
37.467,37.467,53.13984033,47.0441636,34.46479151,35.4967078,20.78012283,18.5872918
37.601,37.601,52.40087509,45.62659597,34.69501242,35.45800674,20.79625082,18.88778757
